Abbr,State,Latitude,Longitude
AL,Alabama,32.74,-86.84
AK,Alaska,63.35,-152.84
AZ,Arizona,34.21,-111.6
AR,Arkansas,34.9,-92.44
CA,California,37.15,-119.54
CO,Colorado,38.99,-105.51
CT,Connecticut,41.58,-72.75
DE,Delaware,38.99,-75.45
FL,Florida,28.46,-82.41
GA,Georgia,32.63,-83.42
HI,Hawaii,19.81,-155.51
ID,Idaho,44.3,-114.6
IL,Illinois,40.1,-89.15
IN,Indiana,39.9,-86.28
IA,Iowa,42.07,-93.49
KS,Kansas,38.5,-98.38
KY,Kentucky,37.53,-85.29
LA,Louisiana,30.86,-91.8
ME,Maine,45.39,-68.66
MD,Maryland,38.95,-76.67
MA,Massachusetts,42.16,-71.49
MI,Michigan,44.84,-85.66
MN,Minnesota,46.32,-94.2
MS,Mississippi,32.69,-89.66
MO,Missouri,38.35,-92.46
MT,Montana,47.05,-109.63
NE,Nebraska,41.54,-99.81
NV,Nevada,39.33,-116.62
NH,New Hampshire,43.67,-71.58
NJ,New Jersey,40.11,-74.67
NM,New Mexico,34.44,-106.13
NY,New York,42.91,-75.6
NC,North Carolina,35.54,-79.13
ND,North Dakota,47.46,-100.46
OH,Ohio,40.41,-82.71
OK,Oklahoma,35.59,-97.49
OR,Oregon,43.97,-120.62
PA,Pennsylvania,40.9,-77.83
RI,Rhode Island,41.6,-71.53
SC,South Carolina,33.87,-80.85
SD,South Dakota,44.45,-100.24
TN,Tennessee,35.86,-86.35
TX,Texas,31.43,-99.28
UT,Utah,39.33,-111.66
VT,Vermont,44.06,-72.67
VA,Virginia,37.52,-78.67
WA,Washington,47.42,-120.6
WV,West Virginia,38.65,-80.62
WI,Wisconsin,44.63,-89.71
WY,Wyoming,42.99,-107.54
